dataset_name,name,sub,im,inceptionv3_avgpool,clip_final,alexnet_2,alexnet_5,efficientnet_avgpool,swav_avgpool,PixCorr,SSIM,dreamsim
deeprecon,art_fgsm_friendly_0.03_5,KS,1,0.3333333333333333,0.05128205128205128,1.0,0.9230769230769231,0.9753421,0.6835918,0.37225411041163664,0.3637709697334511,0.8649883270263672
deeprecon,art_fgsm_friendly_0.03_5,KS,2,0.02564102564102564,0.2564102564102564,0.358974358974359,0.9487179487179487,0.9815172,0.659011,-0.039658620381241974,0.0824390798728928,0.9332370162010193
deeprecon,art_fgsm_friendly_0.03_5,KS,3,0.6923076923076923,0.6153846153846154,0.9743589743589743,0.7948717948717948,1.0019836,0.6347518,0.08469075666092622,0.3820286106268425,0.8635266423225403
deeprecon,art_fgsm_friendly_0.03_5,KS,4,0.5128205128205128,0.9487179487179487,0.9487179487179487,0.8717948717948718,0.9670112,0.5201144,0.17843083901253134,0.5567579493452592,0.8915876150131226
deeprecon,art_fgsm_friendly_0.03_5,KS,5,0.6666666666666666,0.07692307692307693,0.717948717948718,1.0,1.0181884,0.7379118,-0.019102615571712226,0.1328834112026612,0.8856928944587708
deeprecon,art_fgsm_friendly_0.03_5,KS,6,0.15384615384615385,0.6666666666666666,0.5384615384615384,0.8205128205128205,0.98007303,0.75413984,0.11427189583884952,0.056273330849279685,0.8689261078834534
deeprecon,art_fgsm_friendly_0.03_5,KS,7,0.15384615384615385,0.7435897435897436,0.9743589743589743,0.717948717948718,0.9883271,0.6813716,0.3477436837645694,0.2502889428397749,0.9262167811393738
deeprecon,art_fgsm_friendly_0.03_5,KS,8,0.41025641025641024,0.0,0.9487179487179487,0.9487179487179487,1.0185395,0.6204395,0.3867954985534179,0.36447878228324093,0.9247651100158691
deeprecon,art_fgsm_friendly_0.03_5,KS,9,1.0,0.8461538461538461,1.0,0.5384615384615384,0.99014413,0.7249814,-0.05608666902050537,0.1775696707665502,0.8244310617446899
deeprecon,art_fgsm_friendly_0.03_5,KS,10,0.46153846153846156,0.5128205128205128,0.8717948717948718,0.8461538461538461,1.0425811,0.5197964,0.2102486696331576,0.5273923176494304,0.9549306631088257
deeprecon,art_fgsm_friendly_0.03_5,KS,11,0.48717948717948717,0.41025641025641024,0.7948717948717948,0.6666666666666666,0.96196026,0.47308338,0.0022952260239100727,0.649491297597045,0.829633355140686
deeprecon,art_fgsm_friendly_0.03_5,KS,12,0.4358974358974359,0.10256410256410256,0.9230769230769231,0.6410256410256411,1.0087947,0.50920826,0.06133696092918889,0.5160346331085708,0.8137934803962708
deeprecon,art_fgsm_friendly_0.03_5,KS,13,0.358974358974359,0.6923076923076923,0.9487179487179487,1.0,0.99185544,0.75150293,0.3050738973953464,0.07072986744385366,0.7746292948722839
deeprecon,art_fgsm_friendly_0.03_5,KS,14,0.5128205128205128,0.9743589743589743,0.9743589743589743,0.7435897435897436,1.0112478,0.631438,-0.01649064888499315,0.5159353863531221,0.8898006081581116
deeprecon,art_fgsm_friendly_0.03_5,KS,15,0.358974358974359,1.0,0.8205128205128205,0.1282051282051282,0.9660873,0.6984141,-0.14545267918765883,0.10812806347853335,0.9275793433189392
deeprecon,art_fgsm_friendly_0.03_5,KS,16,0.8461538461538461,0.05128205128205128,0.9487179487179487,0.9487179487179487,1.0242494,0.5415926,0.10080595940260799,0.7191128439551191,0.9149119257926941
deeprecon,art_fgsm_friendly_0.03_5,KS,17,0.358974358974359,0.1282051282051282,0.7948717948717948,0.7435897435897436,1.0063512,0.7248045,0.23684188054095984,0.08190408116720876,0.9004820585250854
deeprecon,art_fgsm_friendly_0.03_5,KS,18,0.46153846153846156,0.358974358974359,0.8717948717948718,0.8717948717948718,1.056612,0.73420554,-0.1849014620302988,0.19937136724221427,0.8908548355102539
deeprecon,art_fgsm_friendly_0.03_5,KS,19,0.7692307692307693,0.5128205128205128,0.9487179487179487,0.28205128205128205,1.0087175,0.64872926,-0.17422621425327214,0.3393228441660152,0.9592322111129761
deeprecon,art_fgsm_friendly_0.03_5,KS,20,0.6923076923076923,0.6666666666666666,0.9230769230769231,0.8974358974358975,1.0389681,0.41565746,-0.05279248818481915,0.7254079060745184,0.8668927550315857
deeprecon,art_fgsm_friendly_0.03_5,KS,21,0.8461538461538461,0.07692307692307693,0.7435897435897436,0.7948717948717948,0.9853116,0.55830383,0.24421961348994914,0.44147853475246546,0.8377224206924438
deeprecon,art_fgsm_friendly_0.03_5,KS,22,0.8461538461538461,0.358974358974359,0.8974358974358975,0.9743589743589743,1.0437555,0.65366536,0.4012750038515831,0.3215505203729659,0.8682425618171692
deeprecon,art_fgsm_friendly_0.03_5,KS,23,0.1794871794871795,0.5897435897435898,1.0,0.8974358974358975,1.0563457,0.5601878,0.2549765295050789,0.5597652650693588,0.9328942894935608
deeprecon,art_fgsm_friendly_0.03_5,KS,24,0.6410256410256411,0.7948717948717948,0.8974358974358975,0.9487179487179487,1.0058398,0.65337443,0.1252789064631377,0.590992790430571,0.9478541016578674
deeprecon,art_fgsm_friendly_0.03_5,KS,25,0.4358974358974359,0.5897435897435898,1.0,1.0,0.9836661,0.5088254,0.46159044420176193,0.6492731692946465,0.7094345688819885
deeprecon,art_fgsm_friendly_0.03_5,KS,26,0.9743589743589743,0.8461538461538461,1.0,1.0,0.92376953,0.5871723,0.4567161374331964,0.537060996628201,0.7620056867599487
deeprecon,art_fgsm_friendly_0.03_5,KS,27,0.7435897435897436,0.8205128205128205,0.7948717948717948,0.7435897435897436,0.9918294,0.5181061,0.4491842035683248,0.540012653768342,0.957883358001709
deeprecon,art_fgsm_friendly_0.03_5,KS,28,0.8205128205128205,0.6666666666666666,0.6410256410256411,0.8717948717948718,0.9752837,0.70958006,0.03745316905951067,0.1747184222691866,0.9120726585388184
deeprecon,art_fgsm_friendly_0.03_5,KS,29,0.41025641025641024,0.8205128205128205,0.8205128205128205,0.7692307692307693,1.0248502,0.74534947,0.15866328556536896,0.20377502746284443,0.8438743948936462
deeprecon,art_fgsm_friendly_0.03_5,KS,30,0.6153846153846154,0.38461538461538464,0.5897435897435898,0.6153846153846154,0.9906895,0.7125615,0.06211814480512237,0.3170173074580379,0.8927831649780273
deeprecon,art_fgsm_friendly_0.03_5,KS,31,0.5897435897435898,0.3333333333333333,0.8461538461538461,0.8974358974358975,1.06571,0.58666086,0.0648119919347946,0.46570460763848665,0.9316842555999756
