dataset_name,name,sub,im,inceptionv3_avgpool,clip_final,alexnet_2,alexnet_5,efficientnet_avgpool,swav_avgpool,PixCorr,SSIM,dreamsim
deeprecon,art_ic_adversarial_90-10_500_5,KS,1,0.5128205128205128,0.15384615384615385,0.9743589743589743,0.8974358974358975,0.9677545,0.64200914,0.3915378320715456,0.47869937300364884,0.8823339939117432
deeprecon,art_ic_adversarial_90-10_500_5,KS,2,0.41025641025641024,0.5128205128205128,0.9230769230769231,0.9743589743589743,0.9616186,0.68280363,-0.08976788080343903,0.14066155751023235,0.8433418869972229
deeprecon,art_ic_adversarial_90-10_500_5,KS,3,0.07692307692307693,0.8461538461538461,0.9743589743589743,0.9487179487179487,0.9920972,0.6306292,0.047934518430084325,0.3427292441412268,0.8986197113990784
deeprecon,art_ic_adversarial_90-10_500_5,KS,4,0.6666666666666666,0.8461538461538461,0.9230769230769231,0.9487179487179487,1.0002393,0.5329207,0.25915771639340573,0.6625587542154469,0.8891522884368896
deeprecon,art_ic_adversarial_90-10_500_5,KS,5,0.28205128205128205,0.0,0.6666666666666666,1.0,1.0393751,0.733495,0.02039472428311921,0.1428827576520347,0.815730094909668
deeprecon,art_ic_adversarial_90-10_500_5,KS,6,0.10256410256410256,0.41025641025641024,0.7948717948717948,0.5897435897435898,1.0200957,0.73849094,0.13090187968869216,0.039407212866388645,0.9060652256011963
deeprecon,art_ic_adversarial_90-10_500_5,KS,7,0.7435897435897436,0.8717948717948718,1.0,0.8717948717948718,1.009427,0.7133304,0.37075312002733746,0.2801185825629302,0.8742189407348633
deeprecon,art_ic_adversarial_90-10_500_5,KS,8,0.8974358974358975,0.0,0.9230769230769231,0.9230769230769231,1.0278963,0.6282439,0.4354758665317524,0.5025331707078161,0.8308748006820679
deeprecon,art_ic_adversarial_90-10_500_5,KS,9,0.5897435897435898,0.6923076923076923,1.0,1.0,0.991797,0.70736647,-0.07632051970688676,0.2120193311992938,0.8300522565841675
deeprecon,art_ic_adversarial_90-10_500_5,KS,10,0.8461538461538461,0.6153846153846154,0.7948717948717948,0.5384615384615384,1.0583805,0.54826194,0.1483061979323868,0.5715439749810651,0.8821356296539307
deeprecon,art_ic_adversarial_90-10_500_5,KS,11,0.4358974358974359,0.6666666666666666,0.9230769230769231,0.717948717948718,1.0162249,0.44847912,0.07380479346084844,0.6628209183849915,0.8563244342803955
deeprecon,art_ic_adversarial_90-10_500_5,KS,12,0.8717948717948718,0.6153846153846154,0.9487179487179487,0.5897435897435898,0.97459465,0.4864515,0.05315534551912546,0.6595937377217614,0.7865855693817139
deeprecon,art_ic_adversarial_90-10_500_5,KS,13,0.358974358974359,0.3333333333333333,0.9230769230769231,1.0,1.0327668,0.72006035,0.2275533386684014,0.11819779650743412,0.7404507994651794
deeprecon,art_ic_adversarial_90-10_500_5,KS,14,0.7692307692307693,0.8717948717948718,0.9230769230769231,0.9487179487179487,0.96227336,0.5869811,-0.12412425616281893,0.6800863912892033,0.917486310005188
deeprecon,art_ic_adversarial_90-10_500_5,KS,15,0.7692307692307693,0.9743589743589743,0.8717948717948718,1.0,1.0483431,0.64305806,-0.18528685986980914,0.21984966179561172,0.8186665773391724
deeprecon,art_ic_adversarial_90-10_500_5,KS,16,0.8461538461538461,0.3333333333333333,0.9230769230769231,1.0,1.0030341,0.446429,0.14706738950066373,0.656357778704756,0.8859480023384094
deeprecon,art_ic_adversarial_90-10_500_5,KS,17,0.9230769230769231,0.8205128205128205,0.5384615384615384,0.8717948717948718,1.0246474,0.73049086,0.08418123948517879,0.05544306872675024,0.9133256673812866
deeprecon,art_ic_adversarial_90-10_500_5,KS,18,0.8717948717948718,0.5641025641025641,0.38461538461538464,0.5128205128205128,1.040034,0.74347246,-0.14248130267382217,0.10025792309900011,0.9119555354118347
deeprecon,art_ic_adversarial_90-10_500_5,KS,19,0.8461538461538461,0.46153846153846156,0.5897435897435898,0.8717948717948718,1.0571072,0.67884314,-0.24510765257855852,0.38518293033876566,0.8738085031509399
deeprecon,art_ic_adversarial_90-10_500_5,KS,20,0.5384615384615384,0.5641025641025641,0.8717948717948718,0.9230769230769231,1.000942,0.53790057,0.06633827703759104,0.5686821012057262,0.8676187992095947
deeprecon,art_ic_adversarial_90-10_500_5,KS,21,0.1282051282051282,0.05128205128205128,0.9743589743589743,0.41025641025641024,0.9124585,0.535607,0.21203953337225784,0.6161010865872284,0.9206252694129944
deeprecon,art_ic_adversarial_90-10_500_5,KS,22,0.7692307692307693,0.20512820512820512,0.9230769230769231,0.9743589743589743,0.94102687,0.6165531,0.4725340361472466,0.5454315142220589,0.7880162596702576
deeprecon,art_ic_adversarial_90-10_500_5,KS,23,0.9743589743589743,0.48717948717948717,1.0,0.8461538461538461,1.0134293,0.5505413,0.12967238605691225,0.5786883210858906,0.9274166226387024
deeprecon,art_ic_adversarial_90-10_500_5,KS,24,0.07692307692307693,0.9743589743589743,1.0,0.9743589743589743,1.0144265,0.5688021,0.1846688021719325,0.7121217862076652,0.9244226813316345
deeprecon,art_ic_adversarial_90-10_500_5,KS,25,0.8205128205128205,0.1794871794871795,1.0,0.9743589743589743,0.9783094,0.5269696,0.5317558741122218,0.6196314952509828,0.6327273845672607
deeprecon,art_ic_adversarial_90-10_500_5,KS,26,0.7948717948717948,0.38461538461538464,1.0,0.9743589743589743,0.9702894,0.6462987,0.47232456615626794,0.4979127639997894,0.7888740301132202
deeprecon,art_ic_adversarial_90-10_500_5,KS,27,0.9487179487179487,0.8974358974358975,0.8974358974358975,0.7435897435897436,0.99118865,0.50064343,0.4648329207558116,0.681614673002705,0.9475298523902893
deeprecon,art_ic_adversarial_90-10_500_5,KS,28,0.41025641025641024,0.7435897435897436,0.28205128205128205,0.6923076923076923,1.0220252,0.72692174,0.08097505099867308,0.1105295052138897,0.9164223670959473
deeprecon,art_ic_adversarial_90-10_500_5,KS,29,0.358974358974359,0.9743589743589743,0.8974358974358975,0.15384615384615385,1.0160029,0.72715604,0.1277870975662712,0.1994819098477388,0.8634663224220276
deeprecon,art_ic_adversarial_90-10_500_5,KS,30,0.5641025641025641,0.48717948717948717,0.8717948717948718,0.6923076923076923,1.04335,0.71021986,0.07368690629246898,0.27981870186486535,0.8791078925132751
deeprecon,art_ic_adversarial_90-10_500_5,KS,31,0.8205128205128205,0.41025641025641024,0.8205128205128205,0.6923076923076923,1.0205878,0.5626752,0.05388802569955371,0.6700825988786699,0.9245581030845642
deeprecon,art_ic_adversarial_90-10_500_5,KS,32,0.8205128205128205,0.05128205128205128,0.9743589743589743,1.0,1.033649,0.67279416,0.2616975081515748,0.4101742610122464,0.8755096197128296
deeprecon,art_ic_adversarial_90-10_500_5,KS,33,0.46153846153846156,0.6153846153846154,0.9743589743589743,1.0,0.9758296,0.57626903,0.3064667381878423,0.6342950218982273,0.8401604294776917
deeprecon,art_ic_adversarial_90-10_500_5,KS,34,0.7435897435897436,0.5897435897435898,0.8717948717948718,0.9743589743589743,1.0284512,0.55220175,0.2899134193100788,0.761627830872043,0.8909130692481995
deeprecon,art_ic_adversarial_90-10_500_5,KS,35,0.20512820512820512,0.5641025641025641,0.46153846153846156,0.5641025641025641,0.9740246,0.750623,0.1935309570966175,0.13074346234943987,0.8907994031906128
deeprecon,art_ic_adversarial_90-10_500_5,KS,36,0.7948717948717948,0.717948717948718,0.8974358974358975,0.7948717948717948,0.95379317,0.70414436,-0.08703440284658745,0.24711136225049035,0.8981958627700806
deeprecon,art_ic_adversarial_90-10_500_5,KS,37,0.4358974358974359,0.28205128205128205,0.5128205128205128,0.48717948717948717,1.0001106,0.5964395,0.08472514965789987,0.6563050433438248,0.8663859963417053
deeprecon,art_ic_adversarial_90-10_500_5,KS,38,0.0,0.5128205128205128,1.0,0.9487179487179487,1.0124037,0.75037754,0.07970031281229494,0.15316596329285184,0.9012120366096497
deeprecon,art_ic_adversarial_90-10_500_5,KS,39,0.3076923076923077,0.8717948717948718,1.0,0.8717948717948718,1.0851527,0.7158893,-0.04767108495929985,0.23193413506369256,0.8749216794967651
deeprecon,art_ic_adversarial_90-10_500_5,KS,40,0.717948717948718,0.8974358974358975,0.9743589743589743,0.8717948717948718,1.0326053,0.73491764,0.12036572037165313,0.18633121596854518,0.8335108160972595
deeprecon,art_ic_adversarial_90-10_500_5,AM,1,0.6923076923076923,0.5641025641025641,1.0,0.9743589743589743,0.9886554,0.63550544,0.11181842955745482,0.4673225456937099,0.8354848623275757
deeprecon,art_ic_adversarial_90-10_500_5,AM,2,0.28205128205128205,0.5384615384615384,0.9230769230769231,0.9743589743589743,1.0629593,0.7115493,-0.21189811266839306,0.2164163105992508,0.825881838798523
deeprecon,art_ic_adversarial_90-10_500_5,AM,3,0.6923076923076923,0.6666666666666666,0.9743589743589743,0.8974358974358975,0.99128956,0.64068794,0.09350478091459502,0.2166087870164202,0.887283980846405
deeprecon,art_ic_adversarial_90-10_500_5,AM,4,0.15384615384615385,0.9230769230769231,1.0,0.9230769230769231,0.95150816,0.49791938,0.5236298634740248,0.6678878139379887,0.9055831432342529
deeprecon,art_ic_adversarial_90-10_500_5,AM,5,0.7692307692307693,0.02564102564102564,0.9743589743589743,0.8717948717948718,0.9234588,0.7303533,0.0717571773856717,0.08786982682047799,0.8670958280563354
deeprecon,art_ic_adversarial_90-10_500_5,AM,6,0.2564102564102564,0.46153846153846156,0.9743589743589743,1.0,1.0297676,0.7585453,0.20593989656181722,0.08932755209353001,0.8875046968460083
deeprecon,art_ic_adversarial_90-10_500_5,AM,7,1.0,0.8461538461538461,1.0,1.0,0.9918392,0.67399406,0.3667849917653832,0.19550186933741667,0.8558556437492371
deeprecon,art_ic_adversarial_90-10_500_5,AM,8,0.7435897435897436,0.0,0.8717948717948718,0.7692307692307693,1.0458379,0.6318554,0.21796686373880542,0.39836926972563025,0.7845677733421326
deeprecon,art_ic_adversarial_90-10_500_5,AM,9,0.10256410256410256,0.6666666666666666,1.0,1.0,1.003729,0.7244742,-0.0453282327432283,0.1744488501050393,0.830675482749939
