,vdvae,cliptext_final,cliptext_tokens,clipvision_final,clipvision_patches,id_acc_vdvae,id_acc_cliptext,id_acc_clipvision,im,dataset,sub,test_dataset,algorithm,pert_algorithm,pert_type,pert_epsilon,pert_n,pert_ratio,pert_max_steps
0,0.0304577158213789,0.7350118390014484,0.6897761184227434,0.780275811676675,0.5039672652807179,1.0,0.9795918367346939,1.0,1,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
1,0.0067059520607344,0.7365295682313701,0.6722127183190056,0.6774989125809351,0.4486468933231877,0.7142857142857143,1.0,0.5510204081632653,2,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
2,0.0135232579030816,0.772111979582131,0.7254680556108553,0.7163925177744553,0.4515599403077545,0.9183673469387755,0.9591836734693877,0.6326530612244898,3,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
3,0.0070057351412782,0.6785050496982558,0.6503606391403063,0.5541548125150685,0.4762061045488505,0.6530612244897959,0.9591836734693877,0.8979591836734694,4,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
4,0.0165772512124193,0.7594326737770954,0.7211945445520027,0.704975593576441,0.4433203654245687,0.9591836734693877,1.0,0.5918367346938775,5,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
5,0.0141277956560758,0.81747015048786,0.7837591085051022,0.7214907650188294,0.5384296901731943,0.8979591836734694,1.0,1.0,6,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
6,0.000769314838104,0.6931067816070295,0.643606584625079,0.7304211490461707,0.4360836279526421,0.3469387755102041,1.0,0.8571428571428571,7,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
7,0.0225393442980349,0.7482731422572907,0.7061585589035863,0.5378775245696856,0.5268957651701682,0.9795918367346939,0.8571428571428571,0.8367346938775511,8,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
8,0.0163802800757062,0.784035462369367,0.7405269212555715,0.7166803398893405,0.4719264147367459,0.8979591836734694,1.0,1.0,9,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
9,0.0176368451962176,0.7110411974932325,0.6749340208667712,0.6393010307333885,0.4984286061770562,0.9387755102040817,0.9387755102040817,0.7142857142857143,10,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
10,0.0108100673403026,0.7140581600043905,0.6659639379659087,0.6653322347942561,0.4253524866604299,0.8163265306122449,0.9183673469387755,0.5918367346938775,11,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
11,0.0093414954678189,0.7436491272369843,0.6901294125903472,0.6889475069812303,0.4554874769999913,0.6938775510204082,0.8979591836734694,0.6326530612244898,12,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
12,0.0056881399072772,0.6261110354456698,0.5732789980001175,0.6935624030546703,0.3799739278041359,0.6326530612244898,0.6938775510204082,0.08163265306122448,13,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
13,0.0208638223103135,0.604950603584135,0.5680170849518866,0.5406341753400257,0.3773778846528646,0.9795918367346939,0.5510204081632653,0.10204081632653061,14,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
14,0.0297733969373145,0.5522759742491185,0.5379486392700952,0.5617582176638101,0.3573025708630468,1.0,0.6938775510204082,0.2653061224489796,15,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
15,0.0152693906070722,0.7768014293443696,0.7371210836525907,0.4375127198579626,0.4810023762267779,0.8775510204081632,1.0,1.0,16,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
16,0.0083076356295788,0.6891373162825667,0.6360116365394729,0.6543295766534015,0.4816381330977242,0.7142857142857143,0.9183673469387755,0.8979591836734694,17,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
17,0.0125904768338328,0.7351942346266015,0.7182531010261594,0.6423511830457242,0.4237330057677815,0.8979591836734694,0.9591836734693877,0.9387755102040817,18,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
18,0.0107660151159189,0.6801980521105156,0.6415139586204938,0.6602311955438606,0.401605641268898,0.6938775510204082,0.7142857142857143,0.3673469387755102,19,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
19,-0.00346769512165,0.708904030718576,0.6541113345983945,0.5823484991298582,0.4834450686507589,0.1836734693877551,0.7959183673469388,0.8367346938775511,20,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
20,0.0044360001541577,0.4942754424226185,0.4798025918714548,0.5848340914205697,0.3943451064448651,0.42857142857142855,0.5918367346938775,0.32653061224489793,21,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
21,0.0074970014372157,0.7645446017973204,0.7300891151917346,0.738069296330932,0.5097009878266653,0.7755102040816326,0.9795918367346939,0.9183673469387755,22,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
22,0.0203156465397205,0.7747925511465203,0.7442664211281209,0.7029779084648133,0.4818637094711552,0.9591836734693877,0.9795918367346939,0.8367346938775511,23,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
23,0.0144337630993339,0.713552857468665,0.6770694417674145,0.6060322397327591,0.474267097610652,0.8163265306122449,0.7959183673469388,0.9591836734693877,24,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
24,0.0192915726821675,0.7590786249543306,0.7164797623939184,0.5946799606090266,0.5412704247117736,1.0,1.0,1.0,25,deeprecon,AM,test,brain_diffuser,NO_PERT,,,,,
