,ft_name,profile_corr,dataset,sub,test_dataset,algorithm,pert_algorithm,pert_type,pert_epsilon,pert_n,pert_ratio,pert_max_steps
4,clipvision_patches,0.0412902994626859,deeprecon,AM,art,brain_diffuser,ic,friendly,,5,80-20,500
0,vdvae,0.0009011868319283,deeprecon,AM,test,brain_diffuser,ic,adversarial,,5,70-30,500
1,cliptext_final,0.2356686417645258,deeprecon,AM,test,brain_diffuser,ic,adversarial,,5,70-30,500
2,cliptext_tokens,0.2321829363523685,deeprecon,AM,test,brain_diffuser,ic,adversarial,,5,70-30,500
3,clipvision_final,0.1808848599996253,deeprecon,AM,test,brain_diffuser,ic,adversarial,,5,70-30,500
4,clipvision_patches,0.0698654342342698,deeprecon,AM,test,brain_diffuser,ic,adversarial,,5,70-30,500
0,vdvae,0.0007363701676746,deeprecon,AM,art,brain_diffuser,ic,adversarial,,5,70-30,500
1,cliptext_final,0.0576480644279152,deeprecon,AM,art,brain_diffuser,ic,adversarial,,5,70-30,500
2,cliptext_tokens,0.0819487312847905,deeprecon,AM,art,brain_diffuser,ic,adversarial,,5,70-30,500
3,clipvision_final,0.05415394460029,deeprecon,AM,art,brain_diffuser,ic,adversarial,,5,70-30,500
4,clipvision_patches,0.0462382161839851,deeprecon,AM,art,brain_diffuser,ic,adversarial,,5,70-30,500
0,vdvae,0.0009011868319283,deeprecon,AM,test,brain_diffuser,ic,friendly,,5,70-30,500
1,cliptext_final,0.2356686417645258,deeprecon,AM,test,brain_diffuser,ic,friendly,,5,70-30,500
2,cliptext_tokens,0.2321829363523685,deeprecon,AM,test,brain_diffuser,ic,friendly,,5,70-30,500
3,clipvision_final,0.1896394203874978,deeprecon,AM,test,brain_diffuser,ic,friendly,,5,70-30,500
4,clipvision_patches,0.0687801323895721,deeprecon,AM,test,brain_diffuser,ic,friendly,,5,70-30,500
0,vdvae,0.0007363701676746,deeprecon,AM,art,brain_diffuser,ic,friendly,,5,70-30,500
