,dataset_name,name,sub,im,inceptionv3_avgpool,clip_final,alexnet_2,alexnet_5,efficientnet_avgpool,swav_avgpool,PixCorr,SSIM,dreamsim,clip_dist,dataset,test_dataset,algorithm,pert_algorithm,pert_type,pert_epsilon,pert_n,pert_ratio,pert_max_steps
0,deeprecon,test,AM,1,0.979591836734694,0.9591836734693876,0.8571428571428571,0.8979591836734694,0.96061945,0.41643894,0.2556209463378608,0.3936076113032612,0.5881867408752441,0.318678081035614,deeprecon,test,brain_diffuser,NO_PERT,,,,,
1,deeprecon,test,AM,2,0.6938775510204082,0.7959183673469388,0.9387755102040816,0.673469387755102,0.91869533,0.6578727,-0.1880488548431499,0.2231193889625115,0.7672280669212341,0.4281994104385376,deeprecon,test,brain_diffuser,NO_PERT,,,,,
2,deeprecon,test,AM,3,0.6122448979591837,1.0,0.9591836734693876,1.0,0.9339998,0.4589613,0.2727029413524202,0.3997493807808172,0.574781060218811,0.3089157938957214,deeprecon,test,brain_diffuser,NO_PERT,,,,,
3,deeprecon,test,AM,4,1.0,0.4489795918367347,0.9591836734693876,0.9591836734693876,0.87203616,0.60569584,0.4190021908907907,0.3610913858806016,0.6856036186218262,0.5283985137939453,deeprecon,test,brain_diffuser,NO_PERT,,,,,
4,deeprecon,test,AM,5,0.4693877551020408,0.9591836734693876,1.0,1.0,0.9968236,0.59331614,0.2638637315828868,0.3985657114180653,0.6521399021148682,0.331499695777893,deeprecon,test,brain_diffuser,NO_PERT,,,,,
5,deeprecon,test,AM,6,0.0204081632653061,0.979591836734694,1.0,0.7346938775510204,1.0119147,0.5268803,-0.1655288856644629,0.3916111021509633,0.7095377445220947,0.4493839144706726,deeprecon,test,brain_diffuser,NO_PERT,,,,,
6,deeprecon,test,AM,7,0.979591836734694,0.9591836734693876,1.0,1.0,0.7765988,0.46266562,0.3834811735460655,0.1750370422735691,0.5476999878883362,0.3840922713279724,deeprecon,test,brain_diffuser,NO_PERT,,,,,
7,deeprecon,test,AM,8,1.0,0.979591836734694,0.7959183673469388,1.0,0.94998467,0.6087207,-0.0408709072762189,0.7562813435193246,0.7213618159294128,0.3591358065605163,deeprecon,test,brain_diffuser,NO_PERT,,,,,
8,deeprecon,test,AM,9,1.0,0.8775510204081632,0.979591836734694,0.9387755102040816,0.90519756,0.5315633,0.3736838272442263,0.2480719474129471,0.6393810510635376,0.4329925179481506,deeprecon,test,brain_diffuser,NO_PERT,,,,,
9,deeprecon,test,AM,10,0.9387755102040816,0.673469387755102,1.0,0.979591836734694,0.93019605,0.66005874,0.5382025603819983,0.2791211709614318,0.6236644387245178,0.4404044151306152,deeprecon,test,brain_diffuser,NO_PERT,,,,,
10,deeprecon,test,AM,11,0.3673469387755102,0.7346938775510204,0.979591836734694,1.0,0.9474518,0.5979171,0.2318603615959284,0.1107710716008514,0.636435866355896,0.4675663709640503,deeprecon,test,brain_diffuser,NO_PERT,,,,,
11,deeprecon,test,AM,12,0.9387755102040816,0.979591836734694,0.9591836734693876,0.9387755102040816,0.93284035,0.57104063,0.0080772901745832,0.1738920896860772,0.5705398321151733,0.3783082365989685,deeprecon,test,brain_diffuser,NO_PERT,,,,,
12,deeprecon,test,AM,13,0.8367346938775511,0.8367346938775511,0.9591836734693876,0.9591836734693876,0.98153865,0.56674093,0.1756512334069721,0.0964295515594459,0.6009484529495239,0.4309257864952087,deeprecon,test,brain_diffuser,NO_PERT,,,,,
13,deeprecon,test,AM,14,0.5510204081632653,0.7755102040816326,0.7346938775510204,0.9591836734693876,0.9656117,0.66263765,0.1965501125064357,0.1808660355989898,0.7176479697227478,0.4317476153373718,deeprecon,test,brain_diffuser,NO_PERT,,,,,
14,deeprecon,test,AM,15,0.8571428571428571,0.6122448979591837,0.9183673469387756,0.8163265306122449,0.9789652,0.5180209,0.2573817549730573,0.2247859453440049,0.7003779411315918,0.5445773005485535,deeprecon,test,brain_diffuser,NO_PERT,,,,,
15,deeprecon,test,AM,16,0.979591836734694,0.0204081632653061,1.0,1.0,0.8017726,0.6574342,0.4182586171741271,0.192535200619649,0.6786950826644897,0.6567882299423218,deeprecon,test,brain_diffuser,NO_PERT,,,,,
16,deeprecon,test,AM,17,0.5510204081632653,0.9183673469387756,0.979591836734694,0.8979591836734694,0.9230694,0.687921,0.1758638776052286,0.1468998094332928,0.6695535182952881,0.4328009486198425,deeprecon,test,brain_diffuser,NO_PERT,,,,,
17,deeprecon,test,AM,18,0.9591836734693876,0.7959183673469388,0.6530612244897959,0.8979591836734694,0.9296923,0.43277287,-0.0717025538236298,0.2396442029216682,0.6421942710876465,0.4276348948478699,deeprecon,test,brain_diffuser,NO_PERT,,,,,
18,deeprecon,test,AM,19,0.4285714285714285,0.8163265306122449,0.8775510204081632,0.979591836734694,1.0435435,0.58745277,-0.0204836138818562,0.0803221625641464,0.5867359638214111,0.4260397553443908,deeprecon,test,brain_diffuser,NO_PERT,,,,,
19,deeprecon,test,AM,20,0.0,0.9387755102040816,1.0,0.9387755102040816,0.97948384,0.5253551,0.1268438771373296,0.30168789967674,0.6923949122428894,0.4425897598266601,deeprecon,test,brain_diffuser,NO_PERT,,,,,
20,deeprecon,test,AM,21,0.1632653061224489,0.4897959183673469,0.7346938775510204,0.9591836734693876,0.9634863,0.6526609,-0.0370002878777598,0.188670231267759,0.686142086982727,0.5426987409591675,deeprecon,test,brain_diffuser,NO_PERT,,,,,
21,deeprecon,test,AM,22,0.9387755102040816,0.979591836734694,0.979591836734694,0.8775510204081632,0.87787557,0.5598024,0.2653792117269078,0.38241209479825,0.7134660482406616,0.3468838930130005,deeprecon,test,brain_diffuser,NO_PERT,,,,,
22,deeprecon,test,AM,23,0.8979591836734694,0.8979591836734694,1.0,1.0,0.97458005,0.66797376,0.6044709335305517,0.3854442772698463,0.6404037475585938,0.4092638492584228,deeprecon,test,brain_diffuser,NO_PERT,,,,,
23,deeprecon,test,AM,24,0.9387755102040816,0.2857142857142857,1.0,1.0,0.80555904,0.38288873,0.1279169283853515,0.2349005530231673,0.54047691822052,0.4643272161483764,deeprecon,test,brain_diffuser,NO_PERT,,,,,
24,deeprecon,test,AM,25,1.0,0.6122448979591837,0.979591836734694,1.0,0.78644955,0.36313158,0.4557808054039177,0.5538247130528099,0.5669692158699036,0.4561957716941833,deeprecon,test,brain_diffuser,NO_PERT,,,,,
25,deeprecon,test,AM,26,0.3265306122448979,0.8775510204081632,1.0,0.9591836734693876,1.0021563,0.7658774,0.3225236862593346,0.1287357500274502,0.702495276927948,0.438730239868164,deeprecon,test,brain_diffuser,NO_PERT,,,,,
26,deeprecon,test,AM,27,0.9387755102040816,1.0,1.0,1.0,0.84353805,0.4588099,0.539452154348548,0.2065028066923187,0.6478339433670044,0.4264416694641113,deeprecon,test,brain_diffuser,NO_PERT,,,,,
27,deeprecon,test,AM,28,0.7755102040816326,0.8775510204081632,0.5306122448979592,0.9183673469387756,0.8799327,0.6492064,-0.0008793452296317,0.1708358742753278,0.7498382925987244,0.4264266490936279,deeprecon,test,brain_diffuser,NO_PERT,,,,,
28,deeprecon,test,AM,29,0.5306122448979592,0.3061224489795918,0.9387755102040816,0.9387755102040816,0.8605927,0.545776,0.4221529646895156,0.5477241517899807,0.6554520726203918,0.4679442048072815,deeprecon,test,brain_diffuser,NO_PERT,,,,,
29,deeprecon,test,AM,30,0.4489795918367347,0.5918367346938775,1.0,1.0,0.9653497,0.4422257,-0.005392652952508,0.3711301472194657,0.7250699996948242,0.4584192037582397,deeprecon,test,brain_diffuser,NO_PERT,,,,,
30,deeprecon,test,AM,31,0.4693877551020408,1.0,1.0,1.0,0.9548294,0.500034,0.0395338175955102,0.5122692695008952,0.5925185084342957,0.2807211875915527,deeprecon,test,brain_diffuser,NO_PERT,,,,,
31,deeprecon,test,AM,32,0.3265306122448979,0.6326530612244898,0.8979591836734694,0.9183673469387756,0.9783763,0.4445315,0.2657464075587616,0.2701973765296323,0.7080743908882141,0.4930295348167419,deeprecon,test,brain_diffuser,NO_PERT,,,,,
