dataset_name_bd,name_bd,sub,im,inceptionv3_avgpool_bd,clip_final_bd,alexnet_2_bd,alexnet_5_bd,efficientnet_avgpool_bd,swav_avgpool_bd,PixCorr_bd,SSIM_bd,dreamsim_bd,clip_dist_bd,dataset,test_dataset,algorithm_bd,dataset_name_icnn,name_icnn,inceptionv3_avgpool_icnn,clip_final_icnn,alexnet_2_icnn,alexnet_5_icnn,efficientnet_avgpool_icnn,swav_avgpool_icnn,PixCorr_icnn,SSIM_icnn,dreamsim_icnn,clip_dist_icnn,algorithm_icnn
deeprecon,art,AM,1,0.6923076923076923,0.2051282051282051,0.9487179487179488,0.9230769230769232,0.99492145,0.63561666,0.2815554243295823,0.5092774724202995,0.8402889966964722,0.4477435946464538,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,0.282051282051282,0.0512820512820512,0.9743589743589745,0.9230769230769232,1.0387691,0.61479473,0.516135488196712,0.537673447434482,0.7911126017570496,0.372930645942688,icnn
deeprecon,art,AM,2,0.2051282051282051,0.4615384615384615,0.9743589743589745,1.0,1.0483862,0.67185485,-0.2027201555303126,0.2016371784904782,0.8157076239585876,0.4680672287940979,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,0.9487179487179488,0.2051282051282051,0.8974358974358975,0.9230769230769232,1.0085125,0.67208827,-0.3268225843560188,0.3092838666512763,0.7732861638069153,0.3262864351272583,icnn
deeprecon,art,AM,3,0.5128205128205128,0.6410256410256411,1.0,0.9743589743589745,0.99766076,0.6466986,0.1186376891748911,0.1675741356603133,0.8783817291259766,0.5135282278060913,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,1.0,0.7435897435897436,0.8461538461538461,0.6410256410256411,0.99968445,0.5938261,0.1055204180454852,0.2739679874566455,0.9029901027679444,0.3723539710044861,icnn
deeprecon,art,AM,4,0.9743589743589745,0.8461538461538461,0.9230769230769232,0.8717948717948718,0.9612663,0.48129213,0.5613410440300902,0.6819149980945671,0.8636428117752075,0.4295397996902466,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,0.7435897435897436,1.0,0.9743589743589745,0.7435897435897436,0.9325939,0.4879501,0.5180449453518398,0.6835694437583523,0.7858515381813049,0.3087632060050964,icnn
deeprecon,art,AM,5,0.3846153846153846,0.1282051282051282,0.9743589743589745,1.0,0.998589,0.7595588,0.1279774124382601,0.0795265380906999,0.7907772064208984,0.6091647744178772,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,0.2051282051282051,0.1538461538461538,0.717948717948718,0.7948717948717948,1.0104684,0.67762375,0.079965921042314,0.3442614574753589,0.8579424619674683,0.402495801448822,icnn
deeprecon,art,AM,6,0.0,0.6666666666666666,0.5897435897435898,0.6923076923076923,0.9405023,0.7588458,0.1221204875154954,0.0706073264113034,0.8989966511726379,0.4319438338279724,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,0.1794871794871795,0.1025641025641025,1.0,0.6410256410256411,1.0464021,0.74120843,0.277181195311733,0.2674700681280265,0.827507495880127,0.3940947651863098,icnn
deeprecon,art,AM,7,0.8205128205128205,0.8717948717948718,1.0,1.0,0.98346275,0.64810604,0.3188877258228842,0.1813720301063293,0.8474990129470825,0.4624587893486023,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,0.6410256410256411,0.6153846153846154,1.0,0.9743589743589745,0.93331575,0.6430546,0.4974216549347932,0.4212393506524106,0.723831832408905,0.2876368761062622,icnn
deeprecon,art,AM,8,0.2051282051282051,0.0512820512820512,0.9230769230769232,0.6923076923076923,0.97114587,0.65381587,0.1550312002114677,0.484055145479751,0.8780245184898376,0.4685829281806946,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,0.8717948717948718,0.0,0.9487179487179488,0.9487179487179488,1.0444549,0.56084895,0.4604318280799012,0.4822961377114116,0.8902124166488647,0.4340143203735351,icnn
deeprecon,art,AM,9,0.2564102564102564,0.6666666666666666,0.9743589743589745,1.0,0.950012,0.746564,-0.0278275017212609,0.1305673409776281,0.8271317481994629,0.4762497544288635,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,1.0,0.6410256410256411,0.9743589743589745,0.9487179487179488,0.999836,0.6789756,0.2040977532011006,0.3616180307178096,0.7681261301040649,0.3158991932868957,icnn
deeprecon,art,AM,10,0.4102564102564102,0.6153846153846154,0.8205128205128205,0.9487179487179488,0.9790994,0.38401687,0.4401929878499236,0.7706553189205795,0.91631418466568,0.4727988839149475,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,0.282051282051282,0.717948717948718,0.6666666666666666,0.8717948717948718,0.90742207,0.46331745,-0.0203198015291301,0.6209437222819162,0.8000397682189941,0.3329682946205139,icnn
deeprecon,art,AM,11,0.1538461538461538,0.6153846153846154,0.9487179487179488,0.7692307692307693,0.9576671,0.54078084,0.0469982824237857,0.7083101695850701,0.8362976312637329,0.4773858189582824,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,0.6410256410256411,0.717948717948718,0.6923076923076923,0.7692307692307693,0.9778113,0.4817961,0.0056987000160462,0.6857573400957245,0.7964534759521484,0.3724914193153381,icnn
deeprecon,art,AM,12,0.7692307692307693,0.3076923076923077,0.9230769230769232,0.9230769230769232,1.0519209,0.5766891,0.1694981712640026,0.6588350965436576,0.7970529794692993,0.5129929780960083,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,0.7692307692307693,1.0,0.9487179487179488,0.7692307692307693,0.937218,0.44287694,0.1989513697592908,0.6837626874195429,0.7210839986801147,0.3485916256904602,icnn
deeprecon,art,AM,13,0.8974358974358975,0.6666666666666666,1.0,0.9743589743589745,0.98323274,0.73811257,0.3024661946960572,0.0969086800593642,0.7960825562477112,0.4993014335632324,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,0.4358974358974359,0.5384615384615384,0.9743589743589745,0.9743589743589745,1.0096109,0.62429404,0.4693209963885961,0.2475386559189394,0.7692145705223083,0.331389307975769,icnn
deeprecon,art,AM,14,0.4358974358974359,0.9743589743589745,0.7948717948717948,0.7692307692307693,0.9844156,0.5792469,-0.599531327846199,0.748939702867905,0.8798186182975769,0.3785371780395508,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,0.1282051282051282,0.5897435897435898,0.8461538461538461,0.6666666666666666,0.9564048,0.5463772,-0.4497847962086538,0.6720939754495615,0.8130136728286743,0.3734018802642822,icnn
deeprecon,art,AM,15,0.5641025641025641,0.9743589743589745,0.4615384615384615,0.717948717948718,1.0772085,0.66414696,-0.1792797970300883,0.2204770426036109,0.9289194345474244,0.4595551490783691,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,0.7692307692307693,0.9743589743589745,0.9487179487179488,1.0,1.0432644,0.63951087,-0.3528216307164192,0.3222548400950109,0.743400514125824,0.2923354506492615,icnn
deeprecon,art,AM,16,0.3846153846153846,0.2307692307692307,0.9230769230769232,0.8461538461538461,0.9911018,0.48971605,0.1749574550935107,0.7188863038033994,0.8792683482170105,0.4799084663391113,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,0.5384615384615384,0.4871794871794871,0.8974358974358975,0.7692307692307693,0.9929165,0.45429957,-0.0105033933111005,0.6625426776971244,0.7678837180137634,0.3212521076202392,icnn
deeprecon,art,AM,17,0.5897435897435898,0.2564102564102564,0.9487179487179488,0.8974358974358975,1.0211436,0.7784379,0.2042289535859702,0.2144180402562761,0.8500000238418579,0.4503782391548157,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,1.0,0.6410256410256411,0.8461538461538461,0.4102564102564102,1.0099026,0.716295,0.0643183201006917,0.3494641874905983,0.7979211807250977,0.3165833353996277,icnn
deeprecon,art,AM,18,0.3333333333333333,0.8461538461538461,0.7435897435897436,0.9230769230769232,0.9949298,0.66401553,0.0148379802963742,0.2554092807227284,0.8029253482818604,0.4200655817985534,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,0.6923076923076923,0.717948717948718,0.9743589743589745,0.9487179487179488,1.0143065,0.6928713,0.0492178976726569,0.2880744682425909,0.7736592292785645,0.2664550542831421,icnn
deeprecon,art,AM,19,0.8717948717948718,0.6153846153846154,0.7435897435897436,0.8717948717948718,1.045777,0.67222047,-0.1585913554463972,0.3310754714592304,0.8750214576721191,0.4111137986183166,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,0.7435897435897436,0.0769230769230769,0.9230769230769232,0.9743589743589745,0.9978718,0.65341234,-0.3568000551175884,0.4832609503758233,0.7323622703552246,0.3586256504058838,icnn
deeprecon,art,AM,20,0.3076923076923077,0.8205128205128205,0.8974358974358975,1.0,0.99594915,0.43225592,0.161251249575763,0.7923386300462585,0.8202674984931946,0.4426034688949585,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,0.4102564102564102,0.9743589743589745,1.0,0.8205128205128205,0.9541285,0.45346653,0.3056817648132681,0.659026271848664,0.7393947839736938,0.3443993926048279,icnn
deeprecon,art,AM,21,0.6153846153846154,0.0769230769230769,0.4871794871794871,0.8974358974358975,0.9618136,0.5715397,0.2191352280677314,0.7005517912393896,0.8681086897850037,0.5102499723434448,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,0.4871794871794871,0.1794871794871795,0.7948717948717948,0.8974358974358975,0.9794086,0.44406968,0.1866676740077426,0.6531104304662276,0.8269292116165161,0.3832694292068481,icnn
deeprecon,art,AM,22,0.7948717948717948,0.717948717948718,0.7948717948717948,0.4102564102564102,0.9771824,0.69097036,0.2189853282637884,0.2937101185044873,0.8866943717002869,0.5097718834877014,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,0.9487179487179488,0.1025641025641025,0.9743589743589745,0.9487179487179488,1.0256381,0.6021356,0.317266833883878,0.4276764054452617,0.8641400337219238,0.3744691610336303,icnn
deeprecon,art,AM,23,0.9487179487179488,0.6666666666666666,0.9743589743589745,0.9230769230769232,0.9933785,0.45083952,0.6202938574385795,0.7297663662559973,0.8322826623916626,0.3972248435020447,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,0.8461538461538461,0.6923076923076923,1.0,0.8461538461538461,0.93713033,0.49461013,0.3269766973120206,0.6894744918718302,0.7642800807952881,0.2940144538879394,icnn
deeprecon,art,AM,24,0.9487179487179488,0.9743589743589745,0.9230769230769232,0.9487179487179488,0.9715265,0.5363157,-0.0193877746744303,0.7490081236642496,0.8109066486358643,0.3865813612937927,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,0.6666666666666666,0.9230769230769232,1.0,1.0,0.9687026,0.51005816,0.6665774941041104,0.4793036578215719,0.6979795694351196,0.3029063940048218,icnn
deeprecon,art,AM,25,0.6153846153846154,0.717948717948718,0.8717948717948718,1.0,0.99433595,0.54211485,0.4736436839783893,0.680421242182621,0.6670825481414795,0.487614631652832,deeprecon,art,brain_diffuser,deeprecon,icnn_art__size224_iter500_scaled,0.9743589743589745,0.7948717948717948,0.9743589743589745,1.0,0.9736357,0.5039042,0.5313764996192264,0.559449902730272,0.7192394733428955,0.3304181098937988,icnn
