dataset_name_bd,name_bd,sub,im,inceptionv3_avgpool_bd,clip_final_bd,alexnet_2_bd,alexnet_5_bd,efficientnet_avgpool_bd,swav_avgpool_bd,PixCorr_bd,SSIM_bd,dreamsim_bd,clip_dist_bd,dropout_algorithm,dropout_ratio,dropout_trial,dataset,test_dataset,algorithm_bd,dataset_name_icnn,name_icnn,inceptionv3_avgpool_icnn,clip_final_icnn,alexnet_2_icnn,alexnet_5_icnn,efficientnet_avgpool_icnn,swav_avgpool_icnn,PixCorr_icnn,SSIM_icnn,dreamsim_icnn,clip_dist_icnn,algorithm_icnn
deeprecon,art_dropout-clipvision_0.1_33,AM,1,0.2307692307692307,0.358974358974359,0.6666666666666666,0.2051282051282051,1.0801696,0.6651959,-0.0318705074108443,0.3284383191683181,0.9407809376716614,0.4102769494056701,dropout-clipvision,0.1,33,deeprecon,art,brain_diffuser,deeprecon,icnn_art_dropout-clipvision_0.1_33_size224_iter500_scaled,0.9743589743589745,0.0769230769230769,0.9230769230769232,0.3846153846153846,0.9662146,0.644049,0.0739819609790775,0.3406911074672289,0.9188756942749025,0.4318388104438782,icnn
deeprecon,art_dropout-clipvision_0.25_88,AM,1,0.3333333333333333,0.5897435897435898,0.9743589743589745,0.6410256410256411,1.0022814,0.68264663,0.016626954823841,0.3080937148628253,0.9246608018875122,0.5249946117401123,dropout-clipvision,0.25,88,deeprecon,art,brain_diffuser,deeprecon,icnn_art_dropout-clipvision_0.25_88_size224_iter500_scaled,0.1282051282051282,0.0512820512820512,0.9743589743589745,0.9487179487179488,1.0479358,0.65172935,0.2476648854042053,0.249024108990093,0.8875970840454102,0.4030436277389526,icnn
deeprecon,art_dropout-dreamsim_0.1_11,AM,1,0.7435897435897436,0.4102564102564102,0.6153846153846154,0.5897435897435898,0.9503976,0.7507634,0.0455095114656731,0.2537644308589347,0.908226191997528,0.53071528673172,dropout-dreamsim,0.1,11,deeprecon,art,brain_diffuser,deeprecon,icnn_art_dropout-dreamsim_0.1_11_size224_iter500_scaled,0.1282051282051282,0.0512820512820512,0.7948717948717948,0.9487179487179488,1.0303577,0.63174295,0.2609618057112324,0.3918524995550858,0.8775721192359924,0.4367327094078064,icnn
deeprecon,art_dropout-dreamsim_0.25_55,AM,1,0.2051282051282051,0.7692307692307693,0.8205128205128205,0.1282051282051282,1.0460165,0.7277987,-0.0376191302320891,0.3785110728708075,0.9304130673408508,0.4171677231788635,dropout-dreamsim,0.25,55,deeprecon,art,brain_diffuser,deeprecon,icnn_art_dropout-dreamsim_0.25_55_size224_iter500_scaled,0.2051282051282051,0.0769230769230769,0.8717948717948718,0.8717948717948718,1.0332942,0.6300454,0.1882431962399114,0.4438951042482173,0.9237847924232484,0.3971870541572571,icnn
deeprecon,art_dropout-pixels_0.1_44,AM,1,0.4102564102564102,0.5384615384615384,0.6153846153846154,0.2564102564102564,1.0694547,0.7021941,0.0379491795353087,0.2639988132558625,0.976064920425415,0.4970515966415405,dropout-pixels,0.1,44,deeprecon,art,brain_diffuser,deeprecon,icnn_art_dropout-pixels_0.1_44_size224_iter500_scaled,0.4358974358974359,0.1282051282051282,0.9487179487179488,0.7692307692307693,1.000172,0.6197034,0.0613669787104191,0.3603204047969801,0.9067649841308594,0.3871316909790039,icnn
deeprecon,art_dropout-pixels_0.25_44,AM,1,0.8461538461538461,0.5384615384615384,0.7692307692307693,0.8717948717948718,1.0577402,0.67877233,0.1252250984460961,0.3215261675629972,0.8609129190444946,0.4671792387962341,dropout-pixels,0.25,44,deeprecon,art,brain_diffuser,deeprecon,icnn_art_dropout-pixels_0.25_44_size224_iter500_scaled,0.0,0.0512820512820512,0.9487179487179488,0.7692307692307693,1.0801959,0.6507281,0.2426301152396045,0.4264003502103285,0.8737470507621765,0.4124045968055725,icnn
deeprecon,art_dropout-quantizedCountBoring_0.25_00,AM,1,0.3076923076923077,0.6153846153846154,0.8974358974358975,0.8974358974358975,1.0187579,0.7435906,0.0879167953986172,0.3838322110674655,0.8690961599349976,0.3952211141586303,dropout-quantizedCountBoring,0.25,0,deeprecon,art,brain_diffuser,deeprecon,icnn_art_dropout-quantizedCountBoring_0.25_00_size224_iter500_scaled,0.1794871794871795,0.0512820512820512,0.9230769230769232,0.9230769230769232,1.0338188,0.6420882,-0.0735114315438717,0.2401523236857338,0.901596188545227,0.3946733474731445,icnn
deeprecon,art_dropout-quantizedCountParty_0.25_00,AM,1,0.4102564102564102,0.4102564102564102,0.6410256410256411,0.6923076923076923,0.96904594,0.6704186,0.039004489514323,0.2014527007547888,0.9540159702301024,0.6178640127182007,dropout-quantizedCountParty,0.25,0,deeprecon,art,brain_diffuser,deeprecon,icnn_art_dropout-quantizedCountParty_0.25_00_size224_iter500_scaled,0.0,0.0769230769230769,0.8974358974358975,0.8461538461538461,0.9744981,0.59136903,0.1342930799846159,0.5996312782580401,0.8623299598693848,0.3719366788864136,icnn
deeprecon,art_dropout-random_0.1_00,AM,1,0.7435897435897436,0.4615384615384615,0.8974358974358975,0.9487179487179488,0.94774956,0.6877036,0.2524742119920994,0.3685081967840777,0.8620251417160034,0.4058964848518371,dropout-random,0.1,0,deeprecon,art,brain_diffuser,deeprecon,icnn_art_dropout-random_0.1_00_size224_iter500_scaled,0.0769230769230769,0.0769230769230769,0.9743589743589745,0.9743589743589745,1.0518531,0.62190324,0.3670456258250723,0.3782062194341598,0.90253883600235,0.4125943779945373,icnn
deeprecon,art_dropout-random_0.1_01,AM,1,0.3076923076923077,0.3846153846153846,0.8717948717948718,0.5641025641025641,0.96640563,0.7334769,0.152815044618898,0.2602463699449931,0.8190745115280151,0.4259395003318786,dropout-random,0.1,1,deeprecon,art,brain_diffuser,deeprecon,icnn_art_dropout-random_0.1_01_size224_iter500_scaled,0.717948717948718,0.1282051282051282,0.8717948717948718,0.6666666666666666,1.0593438,0.6389233,0.1457822805322331,0.270142805350151,0.9066787958145142,0.4510639309883117,icnn
