ft_name,profile_corr,dropout_algorithm,dropout_ratio,dropout_trial,dataset,sub,test_dataset,algorithm
cliptext_final,-0.0012726243095828,dropout-random,0.25,1,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0121484605431146,dropout-random,0.25,1,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0312245466256833,dropout-random,0.25,1,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.0346322583107567,dropout-random,0.25,1,deeprecon,AM,art,brain_diffuser
vdvae,0.0015982649638747,dropout-random,0.5,1,deeprecon,AM,test,brain_diffuser
cliptext_final,0.2129681083377295,dropout-random,0.5,1,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.2090369670523028,dropout-random,0.5,1,deeprecon,AM,test,brain_diffuser
clipvision_final,0.1834062702134294,dropout-random,0.5,1,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.064195200761661,dropout-random,0.5,1,deeprecon,AM,test,brain_diffuser
vdvae,2.6666397050521183e-05,dropout-random,0.5,1,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0400976935229182,dropout-random,0.5,1,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0621717503169579,dropout-random,0.5,1,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0358873286175475,dropout-random,0.5,1,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.0391278932142046,dropout-random,0.5,1,deeprecon,AM,art,brain_diffuser
vdvae,0.0012582109824185,dropout-random,0.75,1,deeprecon,AM,test,brain_diffuser
cliptext_final,0.2264611502957615,dropout-random,0.75,1,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.2231209653493985,dropout-random,0.75,1,deeprecon,AM,test,brain_diffuser
clipvision_final,0.1986112837627498,dropout-random,0.75,1,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0731600325476818,dropout-random,0.75,1,deeprecon,AM,test,brain_diffuser
vdvae,0.0014792310501695,dropout-random,0.75,1,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0528417920564947,dropout-random,0.75,1,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0751094436841517,dropout-random,0.75,1,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0502217759928889,dropout-random,0.75,1,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.0483520770403113,dropout-random,0.75,1,deeprecon,AM,art,brain_diffuser
vdvae,0.0006446337771788,dropout-random,0.1,2,deeprecon,AM,test,brain_diffuser
cliptext_final,0.1345916678888526,dropout-random,0.1,2,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.1285320218690452,dropout-random,0.1,2,deeprecon,AM,test,brain_diffuser
clipvision_final,0.1074221622315944,dropout-random,0.1,2,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0312796033300385,dropout-random,0.1,2,deeprecon,AM,test,brain_diffuser
vdvae,0.0005909321340843,dropout-random,0.1,2,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0149250258309635,dropout-random,0.1,2,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0227324939171064,dropout-random,0.1,2,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0314991419332092,dropout-random,0.1,2,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.0237960100034242,dropout-random,0.1,2,deeprecon,AM,art,brain_diffuser
vdvae,0.0009320365792537,dropout-random,0.25,2,deeprecon,AM,test,brain_diffuser
cliptext_final,0.1695513725607234,dropout-random,0.25,2,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.165431324825575,dropout-random,0.25,2,deeprecon,AM,test,brain_diffuser
clipvision_final,0.1563543346894417,dropout-random,0.25,2,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0492760592547726,dropout-random,0.25,2,deeprecon,AM,test,brain_diffuser
vdvae,-0.0003667296864579,dropout-random,0.25,2,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0058741190386898,dropout-random,0.25,2,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0255956533460195,dropout-random,0.25,2,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0335206596257434,dropout-random,0.25,2,deeprecon,AM,art,brain_diffuser
