vdvae,cliptext_final,cliptext_tokens,clipvision_final,clipvision_patches,id_acc_vdvae,id_acc_cliptext,id_acc_clipvision,im,dropout_algorithm,dropout_ratio,dropout_trial,dataset,sub,test_dataset,algorithm_bd,conv1_1,conv1_2,conv2_1,conv2_2,conv3_1,conv3_2,conv3_3,conv3_4,conv4_1,conv4_2,conv4_3,conv4_4,conv5_1,conv5_2,conv5_3,conv5_4,fc6,fc7,fc8,id_acc,algorithm_icnn
0.0013475133712805,0.7438017093287195,0.7084715182580273,0.668842498521838,0.5623160898789105,0.28205128205128205,0.9743589743589743,0.9743589743589743,1,dropout-clipvision,0.1,33,deeprecon,AM,art,brain_diffuser,0.0454858482486172,-0.0329742157766595,-0.037344721836447,-0.0319098316948026,-0.0470407190632306,-0.0542078710895663,-0.089825376036369,-0.1006387133220827,-0.1064457757614305,-0.1161211847246619,-0.0542351886605402,-0.0074869171962445,-0.0455173195416417,-0.0425552433500896,0.0484686485970239,0.0102744128442278,-0.0025200531574002,-0.0319536390852572,-0.2400102958370547,0.1,icnn
0.0133426040162843,0.7510517745976574,0.707053745076943,0.6627579587697549,0.5467079687902295,0.8717948717948718,0.9487179487179487,0.8205128205128205,1,dropout-clipvision,0.25,88,deeprecon,AM,art,brain_diffuser,-0.0708633072053201,-0.17891101220831,-0.0884870665901874,-0.027041618985687,-0.0035787867494296,0.0115993021398761,-0.0156171973553234,-0.0435913827053976,0.0598042857867657,0.0496847657036687,0.0758082010090817,0.1346489494875271,0.1019565310570969,0.0702933699501162,0.0327884833272325,0.0239739229653545,-0.1177607215806397,-0.0454242720999275,0.0669637180729052,0.7,icnn
0.009499549252181,0.7530093248746181,0.7207595614191975,0.6380103232316643,0.5688959692535894,0.7435897435897436,0.9743589743589743,0.9743589743589743,1,dropout-dreamsim,0.1,11,deeprecon,AM,art,brain_diffuser,0.1455550256888755,0.0947460427763489,0.0176420342027312,0.0177683511398971,0.0153236976174452,0.0250695427499748,0.0396732863364684,0.0231428428343105,0.0689944439527344,0.0297079536714269,0.0009777429535177,0.1021498840345553,0.0542756195237847,-0.0044452417023041,-0.0242599328166469,-0.1024692426270196,-0.0721587870561212,-0.0389585905151844,0.1282354840306854,0.85,icnn
0.0158273873043092,0.7694798575988164,0.717128851007759,0.6607523368298894,0.5647891164071371,0.7948717948717948,0.9487179487179487,0.8974358974358975,1,dropout-dreamsim,0.25,55,deeprecon,AM,art,brain_diffuser,0.1755255508483718,0.002181841736081,-0.0397270680813454,-0.0259730983727405,-0.0157546625637386,-0.0157035790571236,-0.0161006673995733,-0.0497867657018765,0.0271879414655809,0.0121573565116957,0.0332151971113684,0.078589707642368,0.0682757579591955,0.0923688562784608,0.0980010329946067,0.1920359492212248,0.0055326436361816,-0.0228005754655451,0.1815921723539224,0.475,icnn
0.0039486948350898,0.7282454611060443,0.6724556133364762,0.631325723448684,0.5889008244294062,0.5641025641025641,0.8717948717948718,0.9743589743589743,1,dropout-pixels,0.1,44,deeprecon,AM,art,brain_diffuser,-0.187165443149326,-0.1240987881342264,-0.0270741313396452,0.0053445350771742,0.0084201190565633,0.021040172561492,-0.0296801192513399,0.0024103367723746,0.016015549052601,-0.0286898121850838,-0.0367986581212251,-0.0008332337003165,-0.0040677996149704,0.0195255983934123,0.0595817510135053,0.0384792368284746,-0.0931804202411229,-0.0591046635868406,-0.2576545289132726,0.625,icnn
0.0102964176678828,0.756695483026725,0.709141347732684,0.545284855929488,0.523283685760792,0.7435897435897436,0.9743589743589743,0.6923076923076923,1,dropout-pixels,0.25,44,deeprecon,AM,art,brain_diffuser,0.0070144437525404,-0.1547093720464445,-0.1080751029632113,-0.0505908392906737,-0.0455617626367995,-0.0594836805703567,-0.0546237491868918,-0.1185634727583659,-0.0476533509369932,-0.0667900893840314,0.0146865249745258,0.0684740804390608,0.0094194075542555,-0.0091642017460749,-0.0142756069910883,0.1198606712650925,-0.1764068211899339,-0.2005706336771235,-0.26446301195126,0.025,icnn
0.0090306586601907,0.7598175043655746,0.7140139320186826,0.640043805439537,0.5734971570608113,0.6410256410256411,0.9230769230769231,0.8205128205128205,1,dropout-quantizedCountBoring,0.25,0,deeprecon,AM,art,brain_diffuser,-0.1082047066507128,-0.2296819223499337,-0.1200073157457549,-0.0654326759945911,-0.046142966875726,-0.0346950422506393,-0.1048547165729178,-0.1332283860715247,-0.0238275281427817,-0.0513955274202671,-0.0223834215437509,0.0186572093283739,0.0038459426143421,-0.0294232592619886,-0.0338300439396669,-0.0815779738412669,-0.1642576196023375,-0.2199940554974836,-0.1882853212878172,0.475,icnn
-0.0105196139701784,0.7337896972142972,0.7033112905486074,0.615894838582899,0.5314758572840267,0.02564102564102564,1.0,0.9743589743589743,1,dropout-quantizedCountParty,0.25,0,deeprecon,AM,art,brain_diffuser,-0.1487170694708132,-0.067247810682654,-0.0650119292169113,-0.0042641795618303,0.0697209066221637,0.0890716821635477,0.1786262276410588,0.1431920888535702,0.2314025014689339,0.2063870431781353,0.1756125404241278,0.2498257206256543,0.2691689633633841,0.2958286854578751,0.2142214157452592,0.3772180024159283,0.0759255138127461,0.0771128102095441,0.4194121392182441,0.8,icnn
0.0093447323346785,0.7683156557742632,0.7215495993612517,0.6471211855192719,0.5612287466802334,0.6923076923076923,0.9487179487179487,0.9743589743589743,1,dropout-random,0.1,0,deeprecon,AM,art,brain_diffuser,0.1186584885690694,0.1227154784429008,0.0835951694960181,0.0264642097940405,0.0354781580281432,0.0453030005872258,0.0440307589685633,0.0323726658485676,0.0621759262154377,0.0203593426882854,0.0367000089073879,0.050589449463088,0.0703598141061841,0.0711530558911952,0.0738225416323235,0.1679564192622809,0.0728964512253643,0.0887189767718388,0.0433621723088104,0.95,icnn
0.002501020446919,0.7445564798959757,0.6963558815147263,0.637729329426282,0.5539608667098902,0.41025641025641024,0.9487179487179487,0.9487179487179487,1,dropout-random,0.1,1,deeprecon,AM,art,brain_diffuser,-0.0428249664895851,-0.1277207313394384,-0.09924202535528,-0.0251725265550021,-0.041095277498135,-0.0400511396512309,-0.0438076584528882,-0.0583080966483549,-0.0343704966571399,-0.0354467624744936,-0.0033466780275207,0.0589596048770467,0.0005072389621326,-0.034478315985961,-0.0250539839528061,0.0283768529792024,-0.0952666494747528,-0.0326214636727229,0.1501110419309214,0.225,icnn
